asset_tag,serial_number,site,business_service,owner_team,lifecycle_state,vendor,model,category,purchase_date,installed_date,warranty_end
SGP-EDGE-SER-3546,SRL-CBE8EB2D,SGP-EDGE,Online Payments,Network Team,In Service,HPE,ProLiant DL380 Gen10,Server,2022-03-18,2022-04-24,2026-03-18
SYD-DC1-SER-3547,SRL-B3BDBB4D,SYD-DC1,Analytics Platform,Network Team,Retiring,Lenovo,ThinkSystem SR650,Server,2021-05-15,2021-07-26,2024-05-15
TOR-DC1-SER-3548,SRL-500E7A27,TOR-DC1,Online Payments,Platform Engineering,RMA Pending,Lenovo,ThinkSystem SR650,Server,2021-02-18,2021-03-28,2025-02-18
DAL-DC2-FIR-3549,SRL-38274C90,DAL-DC2,Customer Portal,Data Center Ops,Retiring,Palo Alto Networks,PA-3220,Firewall,2015-08-14,2015-10-25,2020-08-14
NYC-HQ-SER-3550,SRL-72BEEBE6,NYC-HQ,Email & Collaboration,Security Team,In Service,Lenovo,ThinkSystem SR650,Server,2017-01-10,2017-03-01,2022-01-10
FRA-DC3-FIR-3551,SRL-F6C2C93B,FRA-DC3,Email & Collaboration,Cloud Ops,In Service,Fortinet,FortiGate 200F,Firewall,2016-09-13,2016-11-08,2019-09-13
SYD-DC1-FIR-3552,SRL-C2B606DB,SYD-DC1,Analytics Platform,Data Center Ops,Spare,Palo Alto Networks,PA-5220,Firewall,2019-11-11,2020-01-12,2023-11-11
TOR-DC1-SER-3553,SRL-B2AFC60B,TOR-DC1,Email & Collaboration,Platform Engineering,Lab,Dell,PowerEdge R740,Server,2016-07-02,2016-08-23,2021-07-02
LON-DC1-FIR-3554,SRL-085EA8CA,LON-DC1,Retail POS,Data Center Ops,In Service,Palo Alto Networks,PA-5220,Firewall,2019-10-02,2019-12-24,2024-10-02
AMS-HQ-SER-3555,SRL-8215B8AA,AMS-HQ,Online Payments,Security Team,Lab,Dell,PowerEdge R650,Server,2020-11-04,2021-01-02,2024-11-04
SYD-DC1-FIR-3556,SRL-61446BF8,SYD-DC1,ERP Core,Cloud Ops,In Service,Palo Alto Networks,PA-3220,Firewall,2023-10-04,2023-11-08,2027-10-04
FRA-DC3-SWI-3557,SRL-C072E784,FRA-DC3,Customer Portal,Cloud Ops,Decommission Planned,Arista,7280R3-48YC6,Switch,2015-08-09,2015-09-11,2018-08-09
MEL-DR-SWI-3558,SRL-BA8C1011,MEL-DR,Analytics Platform,Network Team,Retiring,Juniper,QFX5120-48Y,Switch,2021-12-05,2022-01-28,2024-12-05
DAL-DC2-SER-3559,SRL-523E9C7E,DAL-DC2,Online Payments,Security Team,Spare,Dell,PowerEdge R740,Server,2021-10-24,2021-10-09,2026-10-24
FRA-DC3-SER-3560,SRL-BAB6B7D5,FRA-DC3,Voice Core,Infra Ops,Lab,Supermicro,SYS-220U-TNR,Server,2015-03-28,2015-05-27,2018-03-28
LON-DC1-SER-3561,SRL-8DA7DA36,LON-DC1,IoT Gateway,Cloud Ops,Spare,Supermicro,SYS-220U-TNR,Server,2019-04-22,2019-06-23,2024-04-22
NYC-HQ-SWI-3562,SRL-B334F2F6,NYC-HQ,Online Payments,Platform Engineering,Lab,Arista,7280R3-48YC6,Switch,2018-06-28,2018-06-20,2022-06-28
SGP-EDGE-STO-3563,SRL-E7090AD0,SGP-EDGE,IoT Gateway,Infra Ops,Decommission Planned,NetApp,FAS2750,Storage,2018-12-23,2019-01-19,2021-12-23
SYD-DC1-FIR-3564,SRL-4F9D5D9F,SYD-DC1,Customer Portal,Data Center Ops,In Service,Fortinet,FortiGate 200F,Firewall,2015-02-05,2015-04-24,2018-02-05
LON-DC1-FIR-3565,SRL-9844B153,LON-DC1,ERP Core,Cloud Ops,Lab,Palo Alto Networks,PA-3220,Firewall,2023-11-19,2024-01-02,2028-11-19
TOR-DC1-STO-3566,SRL-2FAC77E6,TOR-DC1,Online Payments,Security Team,Lab,Dell,PowerStore 500,Storage,2022-02-16,2022-04-01,2025-02-16
AMS-HQ-FIR-3567,SRL-5D86A092,AMS-HQ,Online Payments,Security Team,In Service,Palo Alto Networks,PA-3220,Firewall,2021-09-15,2021-09-04,2026-09-15
SGP-EDGE-FIR-3568,SRL-CF9267DE,SGP-EDGE,ERP Core,Security Team,Lab,Palo Alto Networks,PA-5220,Firewall,2015-06-03,2015-08-03,2019-06-03
FRA-DC3-STO-3569,SRL-162CF779,FRA-DC3,Analytics Platform,Data Center Ops,RMA Pending,NetApp,AFF A400,Storage,2020-04-08,2020-06-15,2024-04-08
FRA-DC3-SWI-3570,SRL-647F44BA,FRA-DC3,Security Monitoring,Network Team,Retiring,Arista,7280R3-48YC6,Switch,2021-08-15,2021-10-20,2024-08-15
SYD-DC1-FIR-3571,SRL-1CEB5A7E,SYD-DC1,Email & Collaboration,Infra Ops,Spare,Fortinet,FortiGate 200F,Firewall,2020-11-27,2021-01-24,2025-11-27
AMS-HQ-SER-3572,SRL-0D794918,AMS-HQ,Analytics Platform,Network Team,RMA Pending,Lenovo,ThinkSystem SR650,Server,2018-01-08,2018-02-16,2021-01-08
SGP-EDGE-SWI-3573,SRL-9EAB3427,SGP-EDGE,Retail POS,Platform Engineering,RMA Pending,Arista,7280R3-48YC6,Switch,2020-08-09,2020-09-04,2023-08-09
SYD-DC1-STO-3574,SRL-61037A0D,SYD-DC1,Security Monitoring,Cloud Ops,Lab,NetApp,AFF A400,Storage,2015-10-10,2015-12-16,2020-10-10
LON-DC1-FIR-3575,SRL-4FC3BFFC,LON-DC1,ERP Core,Cloud Ops,In Service,Palo Alto Networks,PA-3220,Firewall,2021-01-28,2021-02-23,2025-01-28
SFO-DC2-STO-3576,SRL-7A291328,SFO-DC2,Voice Core,Network Team,Decommission Planned,Dell,PowerStore 500,Storage,2020-10-23,2020-11-13,2024-10-23
DAL-DC2-SWI-3577,SRL-7FAA1FC2,DAL-DC2,ERP Core,Network Team,In Service,Cisco,Nexus 93180YC-FX3,Switch,2022-10-16,2022-12-16,2026-10-16
AMS-HQ-FIR-3578,SRL-01AD4BE1,AMS-HQ,IoT Gateway,Infra Ops,RMA Pending,Palo Alto Networks,PA-3220,Firewall,2021-06-15,2021-06-16,2026-06-15
TOR-DC1-FIR-3579,SRL-2FE0B995,TOR-DC1,Voice Core,Security Team,Spare,Palo Alto Networks,PA-5220,Firewall,2018-05-17,2018-06-12,2022-05-17
SYD-DC1-STO-3580,SRL-4AAA6F20,SYD-DC1,Analytics Platform,Cloud Ops,In Service,Dell,PowerStore 500,Storage,2023-05-22,2023-06-22,2028-05-22
MEL-DR-FIR-3581,SRL-056F8E54,MEL-DR,Email & Collaboration,Network Team,Decommission Planned,Palo Alto Networks,PA-5220,Firewall,2017-11-23,2018-01-25,2020-11-23
LON-DC1-STO-3582,SRL-12A421B3,LON-DC1,Manufacturing SCADA,Security Team,Decommission Planned,NetApp,AFF A400,Storage,2022-01-20,2022-03-26,2026-01-20
AMS-HQ-SWI-3583,SRL-2C383B67,AMS-HQ,Voice Core,Cloud Ops,Lab,Arista,7280R3-48YC6,Switch,2015-11-07,2016-01-01,2020-11-07
DAL-DC2-SER-3584,SRL-06F8CE65,DAL-DC2,Customer Portal,Platform Engineering,Spare,Lenovo,ThinkSystem SR650,Server,2022-10-06,2022-12-12,2025-10-06
NYC-HQ-FIR-3585,SRL-8F6BC89F,NYC-HQ,Online Payments,Platform Engineering,Spare,Palo Alto Networks,PA-3220,Firewall,2016-03-18,2016-05-16,2020-03-18
SFO-DC2-SWI-3586,SRL-35674ED6,SFO-DC2,Customer Portal,Data Center Ops,In Service,Arista,7050X3-48C,Switch,2023-11-06,2023-12-22,2026-11-06
SFO-DC2-SWI-3587,SRL-29C46F87,SFO-DC2,Analytics Platform,Security Team,RMA Pending,Juniper,QFX5120-48Y,Switch,2015-03-07,2015-05-07,2020-03-07
LON-DC1-SWI-3588,SRL-5943DEE9,LON-DC1,Security Monitoring,Infra Ops,Decommission Planned,Cisco,Catalyst 9300-48P,Switch,2021-12-01,2022-01-01,2026-12-01
SGP-EDGE-FIR-3589,SRL-ED56BC01,SGP-EDGE,Analytics Platform,Data Center Ops,In Service,Palo Alto Networks,PA-5220,Firewall,2020-11-05,2020-12-09,2024-11-05
AMS-HQ-SER-3590,SRL-CE403749,AMS-HQ,Manufacturing SCADA,Platform Engineering,Lab,Dell,PowerEdge R650,Server,2019-02-05,2019-04-19,2023-02-05
LON-DC1-SWI-3591,SRL-B9143E8D,LON-DC1,Voice Core,Data Center Ops,In Service,Cisco,Nexus 93180YC-FX3,Switch,2021-05-09,2021-07-26,2026-05-09
MEL-DR-FIR-3592,SRL-CA6474FA,MEL-DR,Security Monitoring,Cloud Ops,Decommission Planned,Fortinet,FortiGate 100E,Firewall,2018-02-04,2018-04-28,2023-02-04
FRA-DC3-FIR-3593,SRL-A64DB640,FRA-DC3,Online Payments,Infra Ops,Spare,Palo Alto Networks,PA-3220,Firewall,2020-05-05,2020-07-22,2023-05-05
MEL-DR-FIR-3594,SRL-CAE8D0C8,MEL-DR,Analytics Platform,Platform Engineering,Decommission Planned,Fortinet,FortiGate 200F,Firewall,2017-06-11,2017-06-24,2021-06-11
FRA-DC3-SWI-3595,SRL-A2A5A91B,FRA-DC3,Email & Collaboration,Cloud Ops,Retiring,Arista,7280R3-48YC6,Switch,2023-07-01,2023-08-04,2026-07-01
LON-DC1-SER-3596,SRL-2A3145EF,LON-DC1,Retail POS,Security Team,Spare,Dell,PowerEdge R740,Server,2018-02-16,2018-02-02,2021-02-16
TOR-DC1-SWI-3597,SRL-37CFB1F7,TOR-DC1,IoT Gateway,Cloud Ops,Decommission Planned,Arista,7050X3-48C,Switch,2018-10-25,2018-12-20,2023-10-25
SFO-DC2-SER-3598,SRL-F9DE2271,SFO-DC2,Manufacturing SCADA,Platform Engineering,Retiring,Supermicro,SYS-220U-TNR,Server,2022-03-17,2022-05-02,2025-03-17
NYC-HQ-STO-3599,SRL-79A64D78,NYC-HQ,Security Monitoring,Security Team,Lab,NetApp,FAS2750,Storage,2020-07-06,2020-09-01,2023-07-06
AMS-HQ-FIR-3600,SRL-36CC0BFC,AMS-HQ,Retail POS,Platform Engineering,Lab,Fortinet,FortiGate 200F,Firewall,2016-07-01,2016-08-11,2019-07-01
SFO-DC2-SWI-3601,SRL-A560F2BD,SFO-DC2,Manufacturing SCADA,Cloud Ops,Retiring,Cisco,Catalyst 9300-48P,Switch,2022-01-01,2022-02-22,2025-01-01
SYD-DC1-FIR-3602,SRL-9B7607D9,SYD-DC1,Customer Portal,Cloud Ops,Decommission Planned,Fortinet,FortiGate 200F,Firewall,2020-11-03,2020-11-04,2023-11-03
SFO-DC2-SWI-3603,SRL-D5251FB3,SFO-DC2,Customer Portal,Data Center Ops,RMA Pending,Cisco,Catalyst 9300-48P,Switch,2016-12-16,2017-01-14,2020-12-16
MEL-DR-ROU-3604,SRL-2F23278B,MEL-DR,Security Monitoring,Network Team,Decommission Planned,Juniper,MX204,Router,2023-08-20,2023-08-19,2028-08-20
NYC-HQ-SWI-3605,SRL-9AA94CCF,NYC-HQ,Online Payments,Infra Ops,Decommission Planned,Arista,7050X3-48C,Switch,2017-08-11,2017-08-23,2020-08-11
MEL-DR-STO-3606,SRL-FFF7FFB3,MEL-DR,Customer Portal,Platform Engineering,RMA Pending,NetApp,FAS2750,Storage,2022-05-09,2022-06-10,2025-05-09
LON-DC1-STO-3607,SRL-611D4492,LON-DC1,Email & Collaboration,Network Team,Decommission Planned,NetApp,AFF A400,Storage,2020-05-24,2020-07-15,2023-05-24
LON-DC1-SER-3608,SRL-93D96814,LON-DC1,Online Payments,Cloud Ops,Lab,Supermicro,SYS-220U-TNR,Server,2022-03-08,2022-05-01,2025-03-08
DAL-DC2-SWI-3609,SRL-A18333E3,DAL-DC2,Manufacturing SCADA,Data Center Ops,RMA Pending,Cisco,Catalyst 9300-48P,Switch,2021-01-26,2021-01-19,2025-01-26
MEL-DR-SWI-3610,SRL-425A4FF6,MEL-DR,Voice Core,Cloud Ops,Spare,Juniper,QFX5120-48Y,Switch,2017-07-16,2017-07-07,2021-07-16
FRA-DC3-SER-3611,SRL-4A11EB24,FRA-DC3,IoT Gateway,Cloud Ops,RMA Pending,Dell,PowerEdge R740,Server,2022-01-04,2022-02-02,2025-01-04
NYC-HQ-STO-3612,SRL-6FA086AB,NYC-HQ,Retail POS,Platform Engineering,Decommission Planned,Dell,PowerStore 500,Storage,2022-11-05,2022-11-18,2027-11-05
SFO-DC2-SER-3613,SRL-745418A7,SFO-DC2,IoT Gateway,Network Team,Retiring,Dell,PowerEdge R650,Server,2015-02-28,2015-04-21,2018-02-28
FRA-DC3-SWI-3614,SRL-94C03325,FRA-DC3,IoT Gateway,Security Team,Spare,Juniper,QFX5120-48Y,Switch,2017-10-15,2017-10-25,2021-10-15
TOR-DC1-FIR-3615,SRL-1EDEF432,TOR-DC1,Analytics Platform,Platform Engineering,Retiring,Fortinet,FortiGate 100E,Firewall,2023-03-19,2023-03-14,2027-03-19
FRA-DC3-SWI-3616,SRL-1491E3A8,FRA-DC3,IoT Gateway,Infra Ops,In Service,Cisco,Catalyst 9606R,Switch,2021-04-26,2021-06-25,2026-04-26
AMS-HQ-SER-3617,SRL-3631F48E,AMS-HQ,ERP Core,Infra Ops,Retiring,HPE,ProLiant DL380 Gen10,Server,2015-08-11,2015-10-19,2019-08-11
NYC-HQ-STO-3618,SRL-46BF1C1F,NYC-HQ,Security Monitoring,Security Team,Lab,NetApp,AFF A400,Storage,2022-04-19,2022-06-21,2025-04-19
DAL-DC2-SWI-3619,SRL-11EC6931,DAL-DC2,Customer Portal,Infra Ops,Retiring,Cisco,Catalyst 9606R,Switch,2023-09-08,2023-09-26,2026-09-08
SGP-EDGE-SWI-3620,SRL-1ED91CF8,SGP-EDGE,Retail POS,Platform Engineering,RMA Pending,Arista,7280R3-48YC6,Switch,2018-11-14,2019-01-23,2022-11-14
SFO-DC2-FIR-3621,SRL-28F4CE1A,SFO-DC2,Security Monitoring,Infra Ops,Spare,Fortinet,FortiGate 200F,Firewall,2018-11-11,2018-12-01,2023-11-11
AMS-HQ-STO-3622,SRL-1E3B65D0,AMS-HQ,Manufacturing SCADA,Platform Engineering,Spare,Dell,PowerStore 500,Storage,2021-06-16,2021-06-12,2025-06-16
DAL-DC2-SWI-3623,SRL-AF774414,DAL-DC2,Security Monitoring,Security Team,Retiring,Cisco,Nexus 93180YC-FX3,Switch,2017-10-19,2017-10-07,2020-10-19
SGP-EDGE-FIR-3624,SRL-5E9C1059,SGP-EDGE,Manufacturing SCADA,Data Center Ops,In Service,Fortinet,FortiGate 200F,Firewall,2017-05-16,2017-07-12,2021-05-16
SYD-DC1-STO-3625,SRL-E5B5E242,SYD-DC1,Online Payments,Data Center Ops,In Service,NetApp,FAS2750,Storage,2019-01-20,2019-01-10,2023-01-20
MEL-DR-SWI-3626,SRL-9495268A,MEL-DR,Voice Core,Security Team,Decommission Planned,Arista,7050X3-48C,Switch,2017-05-06,2017-07-07,2021-05-06
SFO-DC2-STO-3627,SRL-F1406FCE,SFO-DC2,Customer Portal,Infra Ops,Lab,Dell,PowerStore 500,Storage,2017-01-08,2017-03-10,2022-01-08
LON-DC1-ROU-3628,SRL-671E1766,LON-DC1,Online Payments,Cloud Ops,In Service,Juniper,MX204,Router,2015-02-22,2015-03-16,2018-02-22
AMS-HQ-SER-3629,SRL-EA7637DF,AMS-HQ,Analytics Platform,Network Team,RMA Pending,Dell,PowerEdge R740,Server,2022-03-27,2022-04-02,2026-03-27
SGP-EDGE-FIR-3630,SRL-5AED227F,SGP-EDGE,ERP Core,Infra Ops,Decommission Planned,Fortinet,FortiGate 100E,Firewall,2021-10-26,2021-10-09,2024-10-26
NYC-HQ-STO-3631,SRL-43DA212A,NYC-HQ,Manufacturing SCADA,Infra Ops,Spare,Dell,PowerStore 500,Storage,2018-04-11,2018-06-11,2023-04-11
SGP-EDGE-SER-3632,SRL-55C36F24,SGP-EDGE,Voice Core,Infra Ops,Spare,HPE,ProLiant DL380 Gen10,Server,2023-11-08,2023-12-01,2028-11-08
DAL-DC2-SER-3633,SRL-837C4AA1,DAL-DC2,Email & Collaboration,Data Center Ops,Decommission Planned,Lenovo,ThinkSystem SR650,Server,2016-06-08,2016-08-06,2019-06-08
SFO-DC2-FIR-3634,SRL-122F2CD4,SFO-DC2,Customer Portal,Platform Engineering,Spare,Fortinet,FortiGate 200F,Firewall,2022-12-25,2023-01-07,2026-12-25
MEL-DR-SWI-3635,SRL-DCE09F3B,MEL-DR,Online Payments,Network Team,RMA Pending,HPE,Aruba 8400,Switch,2017-10-19,2017-10-03,2022-10-19
SYD-DC1-SWI-3636,SRL-6C668D96,SYD-DC1,Online Payments,Platform Engineering,Lab,Arista,7280R3-48YC6,Switch,2021-02-28,2021-03-19,2025-02-28
SFO-DC2-SWI-3637,SRL-FE343191,SFO-DC2,Voice Core,Cloud Ops,Decommission Planned,Juniper,QFX5120-48Y,Switch,2020-06-09,2020-06-25,2025-06-09
SGP-EDGE-SER-3638,SRL-9F8F4EC6,SGP-EDGE,Customer Portal,Data Center Ops,Spare,Dell,PowerEdge R740,Server,2021-10-16,2021-12-14,2024-10-16
SYD-DC1-ROU-3639,SRL-EDD83780,SYD-DC1,Email & Collaboration,Platform Engineering,Lab,Juniper,MX204,Router,2018-10-07,2018-11-26,2021-10-07
TOR-DC1-ROU-3640,SRL-278807BF,TOR-DC1,Email & Collaboration,Cloud Ops,In Service,Juniper,MX204,Router,2020-04-24,2020-06-21,2023-04-24
MEL-DR-STO-3641,SRL-9E348545,MEL-DR,Customer Portal,Cloud Ops,Decommission Planned,NetApp,AFF A400,Storage,2018-06-15,2018-07-20,2021-06-15
FRA-DC3-SWI-3642,SRL-94A9DAD7,FRA-DC3,ERP Core,Security Team,Spare,Cisco,Catalyst 9300-48P,Switch,2022-04-09,2022-05-04,2025-04-09
LON-DC1-SWI-3643,SRL-E20B0007,LON-DC1,Online Payments,Security Team,Spare,Arista,7050X3-48C,Switch,2019-02-28,2019-03-02,2022-02-28
SGP-EDGE-STO-3644,SRL-F906ABE8,SGP-EDGE,Voice Core,Infra Ops,In Service,NetApp,FAS2750,Storage,2023-06-07,2023-08-15,2026-06-07
SYD-DC1-SWI-3645,SRL-E70E2D98,SYD-DC1,Analytics Platform,Security Team,Lab,Cisco,Nexus 93180YC-FX3,Switch,2020-02-13,2020-02-01,2023-02-13
LON-DC1-SWI-3646,SRL-86FE5894,LON-DC1,Customer Portal,Infra Ops,In Service,Cisco,Catalyst 9300-48P,Switch,2022-12-03,2023-01-01,2026-12-03
MEL-DR-STO-3647,SRL-8FE46D11,MEL-DR,Manufacturing SCADA,Platform Engineering,In Service,NetApp,FAS2750,Storage,2019-11-23,2019-11-11,2023-11-23
SFO-DC2-FIR-3648,SRL-1420ED7A,SFO-DC2,Customer Portal,Data Center Ops,RMA Pending,Fortinet,FortiGate 200F,Firewall,2020-07-10,2020-07-01,2023-07-10
TOR-DC1-FIR-3649,SRL-8B97ED42,TOR-DC1,Retail POS,Security Team,Lab,Palo Alto Networks,PA-3220,Firewall,2016-03-11,2016-04-20,2021-03-11
SYD-DC1-STO-3650,SRL-F6AE4B87,SYD-DC1,Voice Core,Cloud Ops,In Service,NetApp,FAS2750,Storage,2016-04-27,2016-05-23,2019-04-27
MEL-DR-FIR-3651,SRL-218DA0A5,MEL-DR,Analytics Platform,Data Center Ops,RMA Pending,Fortinet,FortiGate 200F,Firewall,2019-02-20,2019-04-02,2022-02-20
MEL-DR-SER-3652,SRL-1FBD1E7D,MEL-DR,Voice Core,Infra Ops,Lab,Lenovo,ThinkSystem SR650,Server,2016-07-14,2016-08-23,2019-07-14
FRA-DC3-SWI-3653,SRL-E8631CB8,FRA-DC3,Customer Portal,Infra Ops,Decommission Planned,Juniper,QFX5120-48Y,Switch,2015-07-04,2015-09-06,2018-07-04
NYC-HQ-SWI-3654,SRL-C9D19138,NYC-HQ,Manufacturing SCADA,Data Center Ops,Lab,Arista,7050X3-48C,Switch,2018-06-05,2018-06-16,2021-06-05
AMS-HQ-SWI-3655,SRL-90CBEB9B,AMS-HQ,Email & Collaboration,Network Team,Lab,Cisco,Nexus 93180YC-FX3,Switch,2019-03-02,2019-04-22,2024-03-02
FRA-DC3-SWI-3656,SRL-E5B6E9B7,FRA-DC3,Email & Collaboration,Cloud Ops,Lab,Arista,7050X3-48C,Switch,2022-08-03,2022-09-22,2025-08-03
LON-DC1-SWI-3657,SRL-C760C99E,LON-DC1,Email & Collaboration,Network Team,Retiring,Cisco,Nexus 93180YC-FX3,Switch,2015-02-02,2015-02-22,2019-02-02
DAL-DC2-SWI-3658,SRL-ED1AE918,DAL-DC2,ERP Core,Network Team,RMA Pending,HPE,Aruba 8400,Switch,2017-08-27,2017-10-14,2022-08-27
FRA-DC3-STO-3659,SRL-906A0B76,FRA-DC3,Manufacturing SCADA,Network Team,Retiring,Dell,PowerStore 500,Storage,2018-01-09,2018-03-09,2023-01-09
NYC-HQ-SER-3660,SRL-36572923,NYC-HQ,Email & Collaboration,Security Team,Retiring,Supermicro,SYS-220U-TNR,Server,2016-07-17,2016-09-27,2021-07-17
FRA-DC3-FIR-3661,SRL-2A87FF86,FRA-DC3,IoT Gateway,Network Team,Retiring,Palo Alto Networks,PA-3220,Firewall,2021-10-02,2021-11-26,2026-10-02
SYD-DC1-FIR-3662,SRL-A9F9C4DE,SYD-DC1,Retail POS,Platform Engineering,Lab,Palo Alto Networks,PA-5220,Firewall,2023-09-25,2023-10-25,2027-09-25
AMS-HQ-SWI-3663,SRL-9EE78101,AMS-HQ,Customer Portal,Cloud Ops,In Service,Cisco,Catalyst 9300-48P,Switch,2022-03-23,2022-05-07,2025-03-23
SYD-DC1-FIR-3664,SRL-0170DB7F,SYD-DC1,Manufacturing SCADA,Network Team,RMA Pending,Fortinet,FortiGate 200F,Firewall,2022-03-21,2022-04-25,2026-03-21
LON-DC1-SWI-3665,SRL-FADE8704,LON-DC1,IoT Gateway,Platform Engineering,Lab,Cisco,Catalyst 9300-48P,Switch,2022-09-08,2022-09-21,2027-09-08
LON-DC1-SWI-3666,SRL-F1F4E760,LON-DC1,Online Payments,Platform Engineering,Retiring,Arista,7280R3-48YC6,Switch,2023-10-19,2024-01-19,2028-10-19
MEL-DR-FIR-3667,SRL-A8D1AA1E,MEL-DR,ERP Core,Data Center Ops,Lab,Palo Alto Networks,PA-3220,Firewall,2019-10-18,2019-11-24,2023-10-18
AMS-HQ-SER-3668,SRL-5BE7B861,AMS-HQ,ERP Core,Infra Ops,Decommission Planned,Lenovo,ThinkSystem SR650,Server,2019-10-02,2019-12-07,2023-10-02
FRA-DC3-SWI-3669,SRL-77261813,FRA-DC3,Manufacturing SCADA,Data Center Ops,Decommission Planned,Arista,7280R3-48YC6,Switch,2020-02-28,2020-04-21,2024-02-28
AMS-HQ-FIR-3670,SRL-B9BA69D1,AMS-HQ,ERP Core,Network Team,Decommission Planned,Fortinet,FortiGate 200F,Firewall,2020-07-02,2020-08-26,2025-07-02
TOR-DC1-FIR-3671,SRL-276CF948,TOR-DC1,IoT Gateway,Platform Engineering,Spare,Fortinet,FortiGate 200F,Firewall,2018-02-17,2018-02-05,2023-02-17
AMS-HQ-SWI-3672,SRL-5A247F12,AMS-HQ,Analytics Platform,Cloud Ops,Spare,Cisco,Catalyst 9300-48P,Switch,2015-03-12,2015-05-01,2019-03-12
DAL-DC2-SER-3673,SRL-277C2E11,DAL-DC2,IoT Gateway,Security Team,Spare,Lenovo,ThinkSystem SR650,Server,2022-08-26,2022-09-08,2025-08-26
LON-DC1-STO-3674,SRL-D26D6D92,LON-DC1,ERP Core,Platform Engineering,Decommission Planned,NetApp,AFF A400,Storage,2022-02-19,2022-03-19,2026-02-19
NYC-HQ-SER-3675,SRL-D74D4C8F,NYC-HQ,IoT Gateway,Infra Ops,Retiring,Lenovo,ThinkSystem SR650,Server,2017-01-28,2017-01-23,2020-01-28
SGP-EDGE-FIR-3676,SRL-68F87619,SGP-EDGE,Online Payments,Security Team,Lab,Fortinet,FortiGate 200F,Firewall,2020-06-01,2020-06-18,2024-06-01
SGP-EDGE-SWI-3677,SRL-264E2793,SGP-EDGE,Retail POS,Network Team,Retiring,Cisco,Nexus 93180YC-FX3,Switch,2023-04-19,2023-06-04,2027-04-19
AMS-HQ-SER-3678,SRL-7FD4C314,AMS-HQ,Analytics Platform,Cloud Ops,Retiring,Lenovo,ThinkSystem SR650,Server,2017-05-13,2017-05-07,2021-05-13
LON-DC1-SWI-3679,SRL-2C0099EC,LON-DC1,Online Payments,Security Team,Lab,Juniper,QFX5120-48Y,Switch,2023-04-25,2023-04-14,2026-04-25
SYD-DC1-SWI-3680,SRL-10DB3FBE,SYD-DC1,Retail POS,Network Team,Lab,Juniper,QFX5120-48Y,Switch,2020-03-20,2020-04-11,2025-03-20
LON-DC1-ROU-3681,SRL-BF215DBE,LON-DC1,Online Payments,Platform Engineering,RMA Pending,Juniper,MX204,Router,2016-08-19,2016-10-13,2021-08-19
DAL-DC2-FIR-3682,SRL-94FC92C3,DAL-DC2,IoT Gateway,Infra Ops,Decommission Planned,Palo Alto Networks,PA-5220,Firewall,2017-09-20,2017-11-05,2022-09-20
LON-DC1-STO-3683,SRL-D2583E94,LON-DC1,IoT Gateway,Network Team,Retiring,Dell,PowerStore 500,Storage,2021-03-05,2021-04-28,2024-03-05
AMS-HQ-SWI-3684,SRL-D3FB5920,AMS-HQ,IoT Gateway,Data Center Ops,Decommission Planned,Cisco,Nexus 93180YC-FX3,Switch,2015-03-05,2015-04-16,2018-03-05
SFO-DC2-FIR-3685,SRL-594D85DE,SFO-DC2,Analytics Platform,Infra Ops,In Service,Palo Alto Networks,PA-3220,Firewall,2021-12-15,2022-02-22,2024-12-15
SFO-DC2-FIR-3686,SRL-84B999D6,SFO-DC2,IoT Gateway,Network Team,RMA Pending,Palo Alto Networks,PA-3220,Firewall,2023-10-24,2023-10-11,2027-10-24
NYC-HQ-SER-3687,SRL-A62D1946,NYC-HQ,Manufacturing SCADA,Data Center Ops,Spare,Supermicro,SYS-220U-TNR,Server,2015-06-03,2015-08-05,2019-06-03
DAL-DC2-SER-3688,SRL-C71950D2,DAL-DC2,Online Payments,Data Center Ops,Retiring,Dell,PowerEdge R740,Server,2017-04-19,2017-04-17,2021-04-19
FRA-DC3-SER-3689,SRL-09EAD4BF,FRA-DC3,Manufacturing SCADA,Infra Ops,Lab,Lenovo,ThinkSystem SR650,Server,2015-10-18,2015-11-18,2018-10-18
DAL-DC2-SER-3690,SRL-7457193D,DAL-DC2,ERP Core,Infra Ops,Spare,Lenovo,ThinkSystem SR650,Server,2021-10-11,2021-12-03,2025-10-11
SGP-EDGE-SER-3691,SRL-59C12B80,SGP-EDGE,Security Monitoring,Security Team,In Service,Dell,PowerEdge R650,Server,2017-05-23,2017-07-16,2020-05-23
SGP-EDGE-SWI-3692,SRL-241F488F,SGP-EDGE,Manufacturing SCADA,Cloud Ops,Decommission Planned,HPE,Aruba 8400,Switch,2016-04-28,2016-06-09,2019-04-28
AMS-HQ-SWI-3693,SRL-028A48AA,AMS-HQ,ERP Core,Infra Ops,Lab,Cisco,Nexus 93180YC-FX3,Switch,2018-02-27,2018-02-23,2023-02-27
SYD-DC1-FIR-3694,SRL-F1A3E076,SYD-DC1,Customer Portal,Platform Engineering,RMA Pending,Palo Alto Networks,PA-5220,Firewall,2016-05-26,2016-05-23,2021-05-26
LON-DC1-FIR-3695,SRL-A180F934,LON-DC1,Retail POS,Platform Engineering,In Service,Palo Alto Networks,PA-5220,Firewall,2016-01-09,2016-03-17,2019-01-09
